timestamp_folder,pig_id,pig_timestamp,rgb_jpg,ir_jpg,depth_jpg,label
20260130-02-03-36,2,20260130-02-04-20,/Users/akbar/Downloads/paal_pipeline/data/20260130-02-03-36/pig2_rgb_20260130-02-04-20.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-02-03-36/pig2_ir_vis_20260130-02-04-20.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-02-03-36/pig2_depth_vis_20260130-02-04-20.jpg,0
20260130-02-03-36,3,20260130-02-04-29,/Users/akbar/Downloads/paal_pipeline/data/20260130-02-03-36/pig3_rgb_20260130-02-04-29.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-02-03-36/pig3_ir_vis_20260130-02-04-29.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-02-03-36/pig3_depth_vis_20260130-02-04-29.jpg,0
20260130-02-03-36,4,20260130-02-04-38,/Users/akbar/Downloads/paal_pipeline/data/20260130-02-03-36/pig4_rgb_20260130-02-04-38.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-02-03-36/pig4_ir_vis_20260130-02-04-38.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-02-03-36/pig4_depth_vis_20260130-02-04-38.jpg,0
20260130-02-03-36,18,20260130-02-06-42,/Users/akbar/Downloads/paal_pipeline/data/20260130-02-03-36/pig18_rgb_20260130-02-06-42.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-02-03-36/pig18_ir_vis_20260130-02-06-42.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-02-03-36/pig18_depth_vis_20260130-02-06-42.jpg,2
20260130-05-04-48,0,20260130-05-05-14,/Users/akbar/Downloads/paal_pipeline/data/20260130-05-04-48/pig0_rgb_20260130-05-05-14.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-05-04-48/pig0_ir_vis_20260130-05-05-14.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-05-04-48/pig0_depth_vis_20260130-05-05-14.jpg,2
20260130-05-04-48,2,20260130-05-05-32,/Users/akbar/Downloads/paal_pipeline/data/20260130-05-04-48/pig2_rgb_20260130-05-05-32.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-05-04-48/pig2_ir_vis_20260130-05-05-32.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-05-04-48/pig2_depth_vis_20260130-05-05-32.jpg,2
20260130-05-04-48,3,20260130-05-05-41,/Users/akbar/Downloads/paal_pipeline/data/20260130-05-04-48/pig3_rgb_20260130-05-05-41.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-05-04-48/pig3_ir_vis_20260130-05-05-41.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-05-04-48/pig3_depth_vis_20260130-05-05-41.jpg,2
20260130-05-04-48,4,20260130-05-05-50,/Users/akbar/Downloads/paal_pipeline/data/20260130-05-04-48/pig4_rgb_20260130-05-05-50.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-05-04-48/pig4_ir_vis_20260130-05-05-50.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-05-04-48/pig4_depth_vis_20260130-05-05-50.jpg,2
20260130-05-04-48,5,20260130-05-05-59,/Users/akbar/Downloads/paal_pipeline/data/20260130-05-04-48/pig5_rgb_20260130-05-05-59.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-05-04-48/pig5_ir_vis_20260130-05-05-59.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-05-04-48/pig5_depth_vis_20260130-05-05-59.jpg,2
20260130-05-04-48,6,20260130-05-06-08,/Users/akbar/Downloads/paal_pipeline/data/20260130-05-04-48/pig6_rgb_20260130-05-06-08.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-05-04-48/pig6_ir_vis_20260130-05-06-08.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-05-04-48/pig6_depth_vis_20260130-05-06-08.jpg,2
20260130-05-04-48,7,20260130-05-06-17,/Users/akbar/Downloads/paal_pipeline/data/20260130-05-04-48/pig7_rgb_20260130-05-06-17.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-05-04-48/pig7_ir_vis_20260130-05-06-17.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-05-04-48/pig7_depth_vis_20260130-05-06-17.jpg,2
20260130-05-04-48,8,20260130-05-06-26,/Users/akbar/Downloads/paal_pipeline/data/20260130-05-04-48/pig8_rgb_20260130-05-06-26.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-05-04-48/pig8_ir_vis_20260130-05-06-26.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-05-04-48/pig8_depth_vis_20260130-05-06-26.jpg,2
20260130-05-04-48,9,20260130-05-06-34,/Users/akbar/Downloads/paal_pipeline/data/20260130-05-04-48/pig9_rgb_20260130-05-06-34.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-05-04-48/pig9_ir_vis_20260130-05-06-34.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-05-04-48/pig9_depth_vis_20260130-05-06-34.jpg,2
20260130-05-04-48,10,20260130-05-06-43,/Users/akbar/Downloads/paal_pipeline/data/20260130-05-04-48/pig10_rgb_20260130-05-06-43.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-05-04-48/pig10_ir_vis_20260130-05-06-43.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-05-04-48/pig10_depth_vis_20260130-05-06-43.jpg,2
20260130-05-04-48,11,20260130-05-06-53,/Users/akbar/Downloads/paal_pipeline/data/20260130-05-04-48/pig11_rgb_20260130-05-06-53.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-05-04-48/pig11_ir_vis_20260130-05-06-53.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-05-04-48/pig11_depth_vis_20260130-05-06-53.jpg,2
20260130-05-04-48,12,20260130-05-07-01,/Users/akbar/Downloads/paal_pipeline/data/20260130-05-04-48/pig12_rgb_20260130-05-07-01.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-05-04-48/pig12_ir_vis_20260130-05-07-01.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-05-04-48/pig12_depth_vis_20260130-05-07-01.jpg,2
20260130-05-04-48,14,20260130-05-07-19,/Users/akbar/Downloads/paal_pipeline/data/20260130-05-04-48/pig14_rgb_20260130-05-07-19.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-05-04-48/pig14_ir_vis_20260130-05-07-19.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-05-04-48/pig14_depth_vis_20260130-05-07-19.jpg,2
20260130-05-04-48,15,20260130-05-07-28,/Users/akbar/Downloads/paal_pipeline/data/20260130-05-04-48/pig15_rgb_20260130-05-07-28.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-05-04-48/pig15_ir_vis_20260130-05-07-28.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-05-04-48/pig15_depth_vis_20260130-05-07-28.jpg,2
20260130-05-04-48,16,20260130-05-07-37,/Users/akbar/Downloads/paal_pipeline/data/20260130-05-04-48/pig16_rgb_20260130-05-07-37.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-05-04-48/pig16_ir_vis_20260130-05-07-37.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-05-04-48/pig16_depth_vis_20260130-05-07-37.jpg,2
20260130-08-16-40,0,20260130-08-17-06,/Users/akbar/Downloads/paal_pipeline/data/20260130-08-16-40/pig0_rgb_20260130-08-17-06.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-08-16-40/pig0_ir_vis_20260130-08-17-06.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-08-16-40/pig0_depth_vis_20260130-08-17-06.jpg,0
20260130-08-16-40,2,20260130-08-17-24,/Users/akbar/Downloads/paal_pipeline/data/20260130-08-16-40/pig2_rgb_20260130-08-17-24.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-08-16-40/pig2_ir_vis_20260130-08-17-24.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-08-16-40/pig2_depth_vis_20260130-08-17-24.jpg,0
20260130-08-16-40,3,20260130-08-17-33,/Users/akbar/Downloads/paal_pipeline/data/20260130-08-16-40/pig3_rgb_20260130-08-17-33.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-08-16-40/pig3_ir_vis_20260130-08-17-33.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-08-16-40/pig3_depth_vis_20260130-08-17-33.jpg,0
20260130-08-16-40,4,20260130-08-17-42,/Users/akbar/Downloads/paal_pipeline/data/20260130-08-16-40/pig4_rgb_20260130-08-17-42.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-08-16-40/pig4_ir_vis_20260130-08-17-42.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-08-16-40/pig4_depth_vis_20260130-08-17-42.jpg,0
20260130-08-16-40,5,20260130-08-17-51,/Users/akbar/Downloads/paal_pipeline/data/20260130-08-16-40/pig5_rgb_20260130-08-17-51.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-08-16-40/pig5_ir_vis_20260130-08-17-51.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-08-16-40/pig5_depth_vis_20260130-08-17-51.jpg,0
20260130-08-16-40,6,20260130-08-18-00,/Users/akbar/Downloads/paal_pipeline/data/20260130-08-16-40/pig6_rgb_20260130-08-18-00.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-08-16-40/pig6_ir_vis_20260130-08-18-00.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-08-16-40/pig6_depth_vis_20260130-08-18-00.jpg,0
20260130-08-16-40,7,20260130-08-18-09,/Users/akbar/Downloads/paal_pipeline/data/20260130-08-16-40/pig7_rgb_20260130-08-18-09.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-08-16-40/pig7_ir_vis_20260130-08-18-09.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-08-16-40/pig7_depth_vis_20260130-08-18-09.jpg,0
20260130-08-16-40,8,20260130-08-18-18,/Users/akbar/Downloads/paal_pipeline/data/20260130-08-16-40/pig8_rgb_20260130-08-18-18.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-08-16-40/pig8_ir_vis_20260130-08-18-18.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-08-16-40/pig8_depth_vis_20260130-08-18-18.jpg,0
20260130-08-16-40,9,20260130-08-18-27,/Users/akbar/Downloads/paal_pipeline/data/20260130-08-16-40/pig9_rgb_20260130-08-18-27.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-08-16-40/pig9_ir_vis_20260130-08-18-27.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-08-16-40/pig9_depth_vis_20260130-08-18-27.jpg,2
